Player,Team,Rating,Role,prd_pnts
AR Patel,Delhi Capitals,8.5,All Rounder,89.066
BA Stokes,Rajasthan Royals,8.5,All Rounder,2.772
S Gopal,Rajasthan Royals,8.5,All Rounder,25.582
R Ashwin,Delhi Capitals,9,All Rounder,39.764
AM Rahane,Delhi Capitals,8,Batsman,-2.33
JC Buttler,Rajasthan Royals,9.5,Wicketkeeper batsman,9.008
MP Stoinis,Delhi Capitals,8.5,Batsman,40.826
PP Shaw,Delhi Capitals,8,Batsman,21.268
R Parag,Rajasthan Royals,8,Batsman,26.244
RV Uthappa,Rajasthan Royals,9,Batsman,14.906
S Dhawan,Delhi Capitals,10,Batsman,19.62
SPD Smith,Rajasthan Royals,8,Batsman,3.448
SS Iyer,Delhi Capitals,10,Batsman,33.44
SV Samson,Rajasthan Royals,9,Wicketkeeper batsman,8.948
A Nortje,Delhi Capitals,9,Bowler,36.75
JD Unadkat,Rajasthan Royals,8.5,Bowler,0.092
JC Archer,Rajasthan Royals,10,Bowler,49.856
R Tewatia,Rajasthan Royals,9,Bowler,-3.564
K Rabada,Delhi Capitals,9.5,Bowler,67.806
